agent_id,1st KIT,Half Acre Seed Pkt,Pesticide pack -3 dipping kit
90,3,,
122,3,,
48,3,,
43,3,,
91,2,,
58,2,,
121,1,,
74,2,,
59,1,,
120,2,,
46,1,,
77,1,,
44,1,,
138,1,,
50,3,,
55,1,,
91,2,,
58,2,,
134,1,,
139,1,,
141,1,,
65,1,,
135,1,,
145,1,,
122,3,,
90,3,,
48,3,,
87,1,,
85,1,,
137,1,,
140,1,,
110,1,,
43,3,,
90,1,,
48,1,,
43,1,,
91,1,,
90,3,,
122,3,,
48,3,,
43,3,,
63,1,,
77,1,,
121,1,,
71,1,,
72,1,,
73,1,,
143,1,,
56,2,,
73,1,,
103,1,,
120,2,,
60,1,,
121,1,,
56,2,,
73,1,,
51,1,,
56,1,,
50,3,,
74,2,,
120,1,,
59,1,,
146,1,,
50,3,,
122,2,,
63,2,,
142,1,,
91,2,,
139,2,,
141,1,,
134,2,,
145,2,,
65,3,,
43,6,,
135,4,,
58,2,,
71,2,,
72,2,,
60,1,,
49,3,,
121,2,,
59,5,,
143,2,,
51,1,,
103,1,,
146,1,,
138,1,,
50,1,,
137,1,,
144,2,,
56,1,,
49,3,,
74,2,,
73,2,,
120,1,,
40,2,,
55,1,,
43,6,,
91,2,,
134,2,,
145,2,,
90,4,,
35,1,,
110,1,,
121,2,,
48,2,,
140,2,,
63,2,,
122,2,,
43,6,,
59,5,,
89,1,,
47,1,,
71,2,,
85,1,,
87,1,,
143,2,,
49,3,,
44,1,,
65,3,,
139,2,,
90,4,,
135,4,,
73,2,,
46,2,,
43,6,,
37,1,,
77,1,,
117,1,,
88,1,,
41,2,,
43,6,,
135,4,,
58,2,,
48,2,,
74,2,,
144,2,,
43,6,,
59,5,,
90,4,,
34,1,,
111,1,,
59,5,,
31,1,,
59,5,,
72,2,,
32,1,,
40,2,,
41,2,,
39,1,,
90,4,,
135,4,,
65,3,,
46,2,,
140,2,,
152,1,,
122,3,,
63,4,,
91,3,,
139,2,,
141,1,,
134,2,,
145,2,,
65,2,,
43,5,,
135,3,,
58,3,,
71,2,,
72,3,,
49,2,,
121,1,,
59,3,,
143,1,,
51,2,,
103,1,,
146,1,,
138,2,,
50,1,,
137,1,,
144,1,,
56,1,,
74,1,,
73,3,,
120,1,,
40,2,,
55,1,,
43,5,,
91,3,,
134,2,,
90,4,,
35,1,,
110,1,,
48,2,,
140,3,,
63,4,,
122,3,,
43,5,,
59,3,,
89,1,,
47,1,,
71,2,,
85,1,,
87,1,,
49,2,,
44,2,,
139,2,,
90,4,,
46,2,,
37,1,,
77,1,,
63,4,,
117,1,,
88,3,,
41,2,,
135,3,,
58,3,,
48,2,,
91,3,,
43,5,,
90,4,,
145,2,,
34,1,,
111,1,,
51,2,,
73,3,,
31,1,,
72,3,,
32,1,,
40,2,,
41,2,,
39,1,,
138,2,,
135,3,,
46,2,,
63,4,,
140,3,,
152,1,,
73,3,,
60,1,,
44,2,,
43,5,,
140,3,,
58,3,,
72,3,,
88,3,,
88,3,,
59,3,,
65,2,,
122,3,,
90,4,,
120,1,,
74,1,,
55,1,,
51,1,,
49,1,,
